Year,COUNTY,ENROLLMENT,DTP#,cnty_vac_rate
2005,IMPERIAL,2592.0,2542.0,98.07098765432099
2005,INYO,173.0,167.0,96.53179190751445
2005,KERN,13407.0,12813.0,95.56947863056612
2005,KINGS,2301.0,2248.0,97.69665362885702
2005,LAKE,728.0,653.0,89.6978021978022
2005,LASSEN,375.0,333.0,88.8
2005,LOS ANGELES,136945.0,129396.0,94.48756800175254
2005,LPINE,14.0,13.0,92.85714285714286
2005,MADERA,2255.0,2117.0,93.88026607538804
2005,MARIN,2814.0,2532.0,89.97867803837953
2005,MARIPOSA,122.0,107.0,87.70491803278688
2005,MENDOCINO,966.0,853.0,88.30227743271222
2005,MERCED,4470.0,4290.0,95.9731543624161
2005,MODOC,97.0,92.0,94.84536082474226
2005,MONO,134.0,126.0,94.02985074626866
2005,MONTEREY,5623.0,5402.0,96.06971367597367
2005,NAPA,1615.0,1569.0,97.15170278637771
2005,NEVADA,991.0,809.0,81.63471241170535
2005,ORANGE,42110.0,39995.0,94.97744003799573
2005,PLACER,4845.0,4495.0,92.77605779153767
2005,PLUMAS,195.0,186.0,95.38461538461539
2005,RIVERSIDE,30485.0,29675.0,97.34295555191078
2005,SACRAMENTO,18466.0,16902.0,91.53038015812845
2005,SAN BENITO,928.0,898.0,96.76724137931035
2005,SAN BERNARDINO,31552.0,30463.0,96.54855476673428
2005,SAN DIEGO,39708.0,37825.0,95.2578825425607
2005,SAN FRANCISCO,6153.0,5771.0,93.79164635137332
2005,SAN JOAQUIN,10939.0,10602.0,96.91927964164915
2005,SAN LUIS OBISPO,2412.0,2247.0,93.1592039800995
2005,SAN MATEO,8589.0,8207.0,95.55245080917453
2005,SANTA BARBARA,5554.0,5256.0,94.63449765934462
2005,SANTA CLARA,24089.0,23240.0,96.4755697621321
2005,SANTA CRUZ,3270.0,2901.0,88.71559633027523
2005,SHASTA,2039.0,1877.0,92.05492888670918
2005,SIERRA,35.0,34.0,97.14285714285714
2005,SISKIYOU,405.0,346.0,85.4320987654321
2005,SOLANO,5360.0,5114.0,95.41044776119404
2005,SONOMA,5745.0,5271.0,91.74934725848564
2005,STANISLAUS,8274.0,7934.0,95.89074208363549
2005,SUTTER,1364.0,1317.0,96.5542521994135
2005,TEHAMA,867.0,819.0,94.4636678200692
2005,TRINITY,108.0,90.0,83.33333333333334
2005,TULARE,8009.0,7830.0,97.7650143588463
2005,TUOLUMNE,464.0,412.0,88.79310344827587
2005,VENTURA,11665.0,10835.0,92.88469781397343
2005,YOLO,2304.0,2247.0,97.52604166666666
2005,YUBA,1160.0,1050.0,90.51724137931035
2006,ALAMEDA,18096.0,17047.0,94.20313881520778
2006,AMADOR,277.0,264.0,95.30685920577618
2006,BUTTE,2497.0,2324.0,93.07168602322787
2006,CALAVERAS,460.0,411.0,89.34782608695652
2006,COLUSA,375.0,369.0,98.4
2006,CONTRA COSTA,13655.0,13109.0,96.0014646649579
2006,DEL NORTE,330.0,301.0,91.21212121212122
